Lex	Type	Regex	Direction	Unnamed: 4	Unnamed: 5	Unnamed: 6	Codes
verbeterd	HISTORICAL	improved|improving|improvement	bidirectional			4/2013	
onvolledig geëvalueerd	AMBIVALENT_EXISTENCE		bidirectional	4/29/2013			
interval verandering	HISTORICAL		bidirectional				
interval toename	HISTORICAL	(interval)\b[\d\D\s]*increase	bidirectional	4/29/2013			
minder waarschijnlijk	AMBIVALENT_EXISTENCE		bidirectional	4/29/2013			
waarschijnlijk	PROBABLE_EXISTENCE		bidirectional				
waarschijnlijk chronisch	HISTORICAL		bidirectional	2/28/2013	thought of just changing chronic to bidirectional	but also capture likely	
kan worden uitgesloten	DEFINITE_NEGATED_EXISTENCE		bidirectional				
nieuwe	ACUTE		bidirectional				
nieuw van voorafgaand examen	ACUTE	new from(\sthe)? prior (exam|study)	bidirectional				
geen verandering in	HISTORICAL	(no(t)? ([a-zA-z] )?change(d)?( in)?)	bidirectional	2/28/2013		4/15/2013	
niet langer genoteerd	DEFINITE_NEGATED_EXISTENCE	no longer (seen|noted|visualized)	bidirectional				
niet	DEFINITE_NEGATED_EXISTENCE	\bnot\b	bidirectional	3/23/2013			
niet significant veranderd	HISTORICAL		bidirectional				
oud	HISTORICAL		bidirectional				
op vorig examen	HISTORICAL	(on |from )?(previous|prior) exam	bidirectional	need regular expression			
aanhoudend	HISTORICAL		bidirectional				
mogelijk	PROBABLE_EXISTENCE		bidirectional	2/28/2013			
voorgaand	HISTORICAL		bidirectional	3/21/2013	changed to bidirectional		
eerder beschreven	HISTORICAL	previously (described|suspected)	bidirectional	3/21/2013		3/22/2013	
voorafgaand	HISTORICAL		bidirectional				
voorafgaand onderzoek	HISTORICAL		bidirectional				
waarschijnlijk	PROBABLE_EXISTENCE		bidirectional	3/21/2013			
twijfelachtig	PROBABLE_NEGATED_EXISTENCE		bidirectional	4/29/2013			
uitgesloten	DEFINITE_NEGATED_EXISTENCE		bidirectional				
moet overwogen worden	PROBABLE_EXISTENCE		bidirectional				
stal	HISTORICAL		bidirectional				
nog steeds duidelijk	HISTORICAL		bidirectional	4/29/2013			
subacute	HISTORICAL		bidirectional				
stel voor	PROBABLE_EXISTENCE	\bsuggest[a-z]+\b	bidirectional				
onveranderd	HISTORICAL	unchanged|unchanging	bidirectional				
versus	AMBIVALENT_EXISTENCE		bidirectional				
afwezigheid van	DEFINITE_NEGATED_EXISTENCE		forward				
voldoende om de patiënt uit te sluiten	DEFINITE_NEGATED_EXISTENCE		forward				
lijkt te zijn	DEFINITE_EXISTENCE		forward				
beoordeling voor	INDICATION		forward				
in gevaar voor	FUTURE	(at\s)?risk\s(in\sthe\sfuture\s)?(for|of)	forward	4/29/2013			
atypisch voor	PROBABLE_NEGATED_EXISTENCE		forward	4/29/2013			
worden uitgesloten voor	INDICATION		forward				
kan worden uitgesloten	DEFINITE_NEGATED_EXISTENCE		forward				
kan de patiënt regeren	DEFINITE_NEGATED_EXISTENCE	can rule (her|him|the patient) out	forward				
kan niet	AMBIVALENT_EXISTENCE		forward				
kan niet uitsluiten	AMBIVALENT_EXISTENCE	cannot\sexclude	forward				
kan niet zien	AMBIVALENT_EXISTENCE		forward				
kan niet volledig uitsluiten	PROBABLE_NEGATED_EXISTENCE		forward				
veranderen in	HISTORICAL		forward				
veranderen	HISTORICAL		forward				
gecontroleerd voor	PROBABLE_EXISTENCE		forward				
klinische bezorgdheid	FUTURE	clinical (concern|suspicion)\b	forward	2/28/2013	simplified expression		
klinische geschiedenis	HISTORICAL		forward				
compatibel met	DEFINITE_EXISTENCE		forward				
betreffende voor	PROBABLE_EXISTENCE		forward				
Overeenkomend met	DEFINITE_EXISTENCE		forward	2/14/2013			
overtuigend	DEFINITE_EXISTENCE		forward				
kan worden uitgesloten	DEFINITE_NEGATED_EXISTENCE		forward				
gedaald	DEFINITE_NEGATED_EXISTENCE		forward				
dalingen	PROBABLE_NEGATED_EXISTENCE		forward				
afname van	HISTORICAL		forward		make regular expression to capture variations		
afname van	HISTORICAL		forward				
definitief	DEFINITE_EXISTENCE		forward				
ontkend	PROBABLE_NEGATED_EXISTENCE		forward				
ontkent	PROBABLE_NEGATED_EXISTENCE		forward				
ontkennen	PROBABLE_NEGATED_EXISTENCE		forward				
ontkennen	PROBABLE_NEGATED_EXISTENCE		forward				
regeerde (de patiënt | hem | haar) uit	DEFINITE_NEGATED_EXISTENCE		forward				
heeft uitgesloten	DEFINITE_NEGATED_EXISTENCE		forward				
differentiële diagnose zou omvatten	AMBIVALENT_EXISTENCE	differential\s((diagnosis|considerations)\s)?((would|could)\sinclud[a-z]*)?	forward				
gedocumenteerd	HISTORICAL		forward				
evalueren voor	INDICATION		forward				
evaluatie van	INDICATION	evaluation\s(of|for)	forward				
bewijsmateriaal	DEFINITE_EXISTENCE		forward				
keurde haar uit tegen	DEFINITE_NEGATED_EXISTENCE		forward				
onderzoek voor	INDICATION	(study|exam|examination) for	forward				
niet te onthullen	DEFINITE_NEGATED_EXISTENCE		forward				
vrij van	DEFINITE_NEGATED_EXISTENCE		forward				
gram negatief	PSEUDONEG		forward				
hogere gevoeligheid voor	INDICATION		forward	2/28/2013			
zeer suggestief	DEFINITE_EXISTENCE		forward	4/29/2013			
geschiedenis van	HISTORICAL		forward				
als er zijn	FUTURE		forward	2/28/2013			
als er bezorgdheid voor is	FUTURE		forward				
moet worden uitgesloten	INDICATION		forward				
is gevoeliger	INDICATION	is more sensitive	forward				
bekend	HISTORICAL	\bknown\b	forward				
lage waarschijnlijkheid	PROBABLE_NEGATED_EXISTENCE		forward				
kan gerelateerd zijn	PROBABLE_EXISTENCE		forward	2/28/2013			
kan vertegenwoordigen	PROBABLE_EXISTENCE	(may|might)\s(represent|reflect)	forward				
kan worden uitgesloten	PROBABLE_NEGATED_EXISTENCE		forward				
nabootsen	PROBABLE_NEGATED_EXISTENCE		forward	3/22/2013			
moet worden uitgesloten	DEFINITE_NEGATED_EXISTENCE		forward				
negatief onderzoek voor	DEFINITE_NEGATED_EXISTENCE	negative (examination|study|exam|evaluation) for	forward				
negatief voor	DEFINITE_NEGATED_EXISTENCE		forward				
nooit ontwikkeld	PROBABLE_NEGATED_EXISTENCE		forward				
nooit gehad	DEFINITE_NEGATED_EXISTENCE		forward				
Nee	DEFINITE_NEGATED_EXISTENCE	\bno\b	forward				
geen abnormaal	DEFINITE_NEGATED_EXISTENCE		forward	2/28/2013	changed from probable to definite		
geen oorzaak van	PROBABLE_NEGATED_EXISTENCE		forward				
geen klachten van	AMBIVALENT_EXISTENCE		forward				
niet overtuigend	PROBABLE_NEGATED_EXISTENCE		forward				
geen definitief	DEFINITE_NEGATED_EXISTENCE	no[\s]*definite	forward				
geen definitieve verandering	HISTORICAL		forward	need regular expression			
geen bewijs van	DEFINITE_NEGATED_EXISTENCE	(no|without)\s((definite|other|definitive|secondary|indirect)\s)?((radiographic|sonographic|CT)\s)?evidence\s(of|for)	forward	2/28/2013	added other probably consider simplifying re as XYZ		
geen bevindingen van	PROBABLE_NEGATED_EXISTENCE		forward				
geen bevindingen om aan te geven	DEFINITE_NEGATED_EXISTENCE		forward				
geen toename	HISTORICAL		forward	4/16/2013			
niet nieuw	DEFINITE_NEGATED_EXISTENCE		forward				
niet duidelijk	PROBABLE_NEGATED_EXISTENCE		forward				
geen ander	PROBABLE_NEGATED_EXISTENCE		forward				
geen teken van	PROBABLE_NEGATED_EXISTENCE		forward				
geen significante	PROBABLE_NEGATED_EXISTENCE		forward				
geen significante verandering	HISTORICAL		forward				
geen significante intervalverandering	HISTORICAL		forward				
geen tekenen	DEFINITE_NEGATED_EXISTENCE	no sign(s)?	forward				
geen duidelijke tekenen van	PROBABLE_NEGATED_EXISTENCE	(no|without) (definite|definitive|secondary|indirect) ((radiographic|sonographic|CT)\s)?signs\s(of|for)	forward				
geen suggestie	DEFINITE_NEGATED_EXISTENCE		forward				
geen verdachte verandering	HISTORICAL		forward	4/16/2013			
geen XYZ om te suggereren	DEFINITE_NEGATED_EXISTENCE	(\b(without|no)\b[\d\D\s]*to suggest)	forward	2/14/2013			
noch	PROBABLE_NEGATED_EXISTENCE	\bnor\b	forward				
niet waarderen	PROBABLE_NEGATED_EXISTENCE		forward				
niet geassocieerd met	PROBABLE_NEGATED_EXISTENCE		forward				
geen oorzaak	PSEUDONEG		forward				
niet zeker of	PSEUDONEG		forward				
niet duidelijk zichtbaar	PROBABLE_NEGATED_EXISTENCE		forward	3/22/2013			
niet klagen	PROBABLE_NEGATED_EXISTENCE		forward				
niet laten zien	DEFINITE_NEGATED_EXISTENCE		forward				
niet afvoeren	PSEUDONEG		forward				
niet vertonen	DEFINITE_NEGATED_EXISTENCE		forward				
niet verlengen	PSEUDONEG		forward				
niet voelen	PROBABLE_NEGATED_EXISTENCE		forward				
Niet gehad	DEFINITE_NEGATED_EXISTENCE		forward				
niet hebben	DEFINITE_NEGATED_EXISTENCE		forward				
niet weten	AMBIVALENT_EXISTENCE		forward				
niet bekend te hebben	AMBIVALENT_EXISTENCE		forward				
niet noodzakelijk	PSEUDONEG		forward				
niet onthullen	DEFINITE_NEGATED_EXISTENCE		forward				
niet zien	DEFINITE_NEGATED_EXISTENCE		forward				
niet zijn	PROBABLE_NEGATED_EXISTENCE		forward				
niets	PROBABLE_NEGATED_EXISTENCE		forward				
voor de hand liggend	DEFINITE_EXISTENCE		forward				
zou moeten worden uitgesloten	INDICATION		forward				
patiënt was dat niet	DEFINITE_NEGATED_EXISTENCE		forward				
positieve studie voor	DEFINITE_EXISTENCE	positive (study|exam|examination)( for)	forward				
aanleg voor	FUTURE		forward	2/14/2013			
progressie van	HISTORICAL	progression\s(of|in)	forward				
liever dan	PROBABLE_EXISTENCE		forward				
redemonstration	HISTORICAL	(re-demonstrat[a-z]*|redemonstrat[a-z]*)	forward				
afgelegen	HISTORICAL		forward	2/28/2013	added for Ami's 19649		
vertegenwoordigt	DEFINITE_EXISTENCE		forward				
overgebleven	HISTORICAL		forward				
resolutie van	HISTORICAL		forward				
oplossen	HISTORICAL		forward				
haar uitsluiten	INDICATION		forward				
hem uitsluiten	INDICATION		forward				
hem uitsluiten	INDICATION		forward				
uitsluiten	INDICATION	(r/o|rule out|\br o\b|r\.o\.|\bro\b)	forward				
uitsluiten voor	INDICATION		forward				
regel de patiënt uit voor	INDICATION	rule (him|her|patient|the patient|subject) out for	forward				
regel de patiënt eruit	INDICATION		forward				
regel de patiënt uit voor	INDICATION		forward				
regeerde haar uit tegen	DEFINITE_NEGATED_EXISTENCE	ruled\s(him|her|the subject|the patient|subject|patient)\sout( against| for)?	forward	4/16/2013			
uitgesloten tegen	DEFINITE_NEGATED_EXISTENCE		forward				
uitgesloten voor	DEFINITE_NEGATED_EXISTENCE		forward				
sluit haar uit	DEFINITE_NEGATED_EXISTENCE		forward				
regeert haar uit voor	DEFINITE_NEGATED_EXISTENCE	rules\s(him|her)\sout\sfor	forward				
regeert hem uit	DEFINITE_NEGATED_EXISTENCE	rules\s(him|her)\sout	forward				
regeert hem uit voor	DEFINITE_NEGATED_EXISTENCE	rules\s(him|her)\sout\sfor	forward				
uitsluiten	DEFINITE_NEGATED_EXISTENCE		forward				
uitsluit voor	DEFINITE_NEGATED_EXISTENCE		forward				
regelt de patiënt eruit	DEFINITE_NEGATED_EXISTENCE		forward				
regeert de patiënt uit voor	DEFINITE_NEGATED_EXISTENCE		forward				
gevolgen van	HISTORICAL		forward				
moet worden uitgesloten	INDICATION		forward				
simuleren	PROBABLE_NEGATED_EXISTENCE		forward	3/22/2013			
onderzoek voor detectie	INDICATION		forward				
voldoende om uit te sluiten	DEFINITE_NEGATED_EXISTENCE	sufficient\sto\srule\s((her|him|the patient|the subject)\s)?out	forward				
verdacht	PROBABLE_EXISTENCE		forward				
suspicous	PROBABLE_EXISTENCE		forward				
test voor	AMBIVALENT_EXISTENCE		forward				
uitsluiten	PROBABLE_NEGATED_EXISTENCE		forward				
niet in staat om adequaat te beoordelen	AMBIVALENT_EXISTENCE		forward				
niet in staat om te beoordelen	AMBIVALENT_EXISTENCE		forward				
onopvallend voor	DEFINITE_NEGATED_EXISTENCE		forward				
gewaarschuwd voor	FUTURE		forward	3/22/2013			
waren gewaarschuwd	FUTURE		forward				
wat moet worden uitgesloten is	INDICATION		forward				
zal worden uitgesloten	INDICATION		forward				
zonder	DEFINITE_NEGATED_EXISTENCE		forward				
zonder	DEFINITE_NEGATED_EXISTENCE		forward				
zonder moeilijkheid	PSEUDONEG		forward				
zonder indicatie	PROBABLE_NEGATED_EXISTENCE		forward				
zonder teken	DEFINITE_NEGATED_EXISTENCE	without sign(s)?	forward				
zorgelijk	PROBABLE_EXISTENCE		forward				
#NAAM?	DEFINITE_NEGATED_EXISTENCE		forward				
hoewel	CONJ		terminate				
losstaand van	CONJ		terminate				
als een oorzaak voor	CONJ		terminate				
als een oorzaak van	CONJ		terminate				
als een etiologie voor	CONJ		terminate				
als een etiologie van	CONJ		terminate				
als een reden voor	CONJ		terminate				
als een reden van	CONJ		terminate				
als een secundaire oorzaak voor	CONJ		terminate				
als een secundaire oorzaak van	CONJ		terminate				
als een secundaire etiologie voor	CONJ		terminate				
als een secundaire etiologie van	CONJ		terminate				
als een secundaire oorsprong voor	CONJ		terminate				
als een secundaire oorsprong van	CONJ		terminate				
als een secundaire reden voor	CONJ		terminate				
als een secundaire reden van	CONJ		terminate				
als een secundaire bron voor	CONJ		terminate				
als een secundaire bron van	CONJ		terminate				
als een bron voor	CONJ		terminate				
als een bron van	CONJ		terminate				
als een oorzaak voor	CONJ		terminate				
als een oorzaak van	CONJ		terminate				
als een etiologie voor	CONJ		terminate				
als een etiologie van	CONJ		terminate				
als een oorsprong voor	CONJ		terminate				
als een oorsprong van	CONJ		terminate				
als een reden voor	CONJ		terminate				
als een reden van	CONJ		terminate				
als een secundaire oorzaak voor	CONJ		terminate				
als een secundaire oorzaak van	CONJ		terminate				
als een secundaire etiologie voor	CONJ		terminate				
als een secundaire etiologie van	CONJ		terminate				
als een secundaire oorsprong voor	CONJ		terminate				
als een secundaire oorsprong van	CONJ		terminate				
als een secundaire reden voor	CONJ		terminate				
als een secundaire reden van	CONJ		terminate				
als een secundaire bron voor	CONJ		terminate				
als een secundaire bron van	CONJ		terminate				
als een bron voor	CONJ		terminate				
als een bron van	CONJ		terminate				
als de oorzaak voor	CONJ		terminate				
als de oorzaak van	CONJ		terminate				
als de etiologie voor	CONJ		terminate				
als de etiologie van	CONJ		terminate				
als de oorsprong voor	CONJ		terminate				
als de oorsprong van	CONJ		terminate				
als de reden voor	CONJ		terminate				
als de reden van	CONJ		terminate				
als de secundaire oorzaak voor	CONJ		terminate				
als de secundaire oorzaak van	CONJ		terminate				
als de secundaire etiologie voor	CONJ		terminate				
als de secundaire etiologie van	CONJ		terminate				
als de secundaire oorsprong voor	CONJ		terminate				
als de secundaire oorsprong van	CONJ		terminate				
als de secundaire reden voor	CONJ		terminate				
als de secundaire reden van	CONJ		terminate				
als de secundaire bron voor	CONJ		terminate				
als de secundaire bron van	CONJ		terminate				
als de bron voor	CONJ		terminate				
als de bron van	CONJ		terminate				
zoals er zijn	CONJ		terminate	2/14/2013			
behalve	CONJ		terminate				
maar	CONJ		terminate				
oorzaak van	CONJ		terminate				
oorzaak van	CONJ		terminate				
oorzaken voor	CONJ		terminate				
oorzaken van	CONJ		terminate				
etiologie voor	CONJ		terminate				
etiologie van	CONJ		terminate				
behalve	CONJ		terminate				
echter	CONJ		terminate				
erbij betrekken	CONJ		terminate				
niettemin	CONJ		terminate				
oorsprong voor	CONJ		terminate				
oorsprong van	CONJ		terminate				
oorsprong voor	CONJ		terminate				
oorsprong van	CONJ		terminate				
andere mogelijkheden van	CONJ		terminate				
reden voor	CONJ		terminate				
reden van	CONJ		terminate				
redenen voor	CONJ		terminate				
redenen van	CONJ		terminate				
ondergeschikt aan	CONJ		terminate				
bron voor	CONJ		terminate				
bron van	CONJ		terminate				
bronnen voor	CONJ		terminate				
bronnen van	CONJ		terminate				
nog steeds	CONJ		terminate				
hoewel	CONJ		terminate				
trigger evenement voor	CONJ		terminate				
welke	CONJ		terminate				
nog	CONJ		terminate				
(nee | niets) overtuigend	DEFINITE_NEGATED_EXISTENCE		forward				
(de patiënt | hem | haar) was dat niet	DEFINITE_NEGATED_EXISTENCE		forward				
als een suggestie	PROBABLE_EXISTENCE		bidirectional				
geassocieerd met	PROBABLE_EXISTENCE		forward				
geloven	DEFINITE_EXISTENCE		bidirectional				
grens	AMBIVALENT_EXISTENCE		bidirectional				
kan uitsluiten	DEFINITE_NEGATED_EXISTENCE		forward				
kan uitsluiten	DEFINITE_NEGATED_EXISTENCE		forward				
kan uitsluiten voor	DEFINITE_NEGATED_EXISTENCE		forward				
kan zien	DEFINITE_EXISTENCE		forward				
kan niet uitsluiten	AMBIVALENT_EXISTENCE	cannot rule (the patient |him |her )?out	forward				
volledig uitgesloten	DEFINITE_NEGATED_EXISTENCE	(completely|entirely)? excluded	backward				
opgevat als	PROBABLE_EXISTENCE		bidirectional				
zou kunnen	PROBABLE_EXISTENCE		forward				
kon niet worden geregeerd	AMBIVALENT_EXISTENCE		bidirectional				
zou kunnen vertegenwoordigen	PROBABLE_EXISTENCE		forward				
dubbelzinnig	AMBIVALENT_EXISTENCE		bidirectional				
elke indicatie	PROBABLE_EXISTENCE		forward				
uitgesloten	DEFINITE_NEGATED_EXISTENCE		backward				
tentoonstellen	PROBABLE_EXISTENCE		bidirectional				
grof bewijsmateriaal	DEFINITE_EXISTENCE		forward				
grote kans	DEFINITE_EXISTENCE		bidirectional				
zeer aarzelend	AMBIVALENT_EXISTENCE		bidirectional				
aanwijzing	AMBIVALENT_EXISTENCE		bidirectional				
onvoldoende om te regeren (de patiënt | hem | haar) uit	AMBIVALENT_EXISTENCE		forward				
is positief	DEFINITE_EXISTENCE		bidirectional				
geen ander bewijs (CT | radiografie | sonographic | MR | etc)	PROBABLE_NEGATED_EXISTENCE		forward				
geen secundaire (CT | radiografische | sonographic | MR | etc) -borden	PROBABLE_NEGATED_EXISTENCE		forward				
geen achterdochtig	PROBABLE_NEGATED_EXISTENCE		forward				
niet toereikend om uit te sluiten	AMBIVALENT_EXISTENCE	not adequate to rule ((the patient|him|her)\s)?out	forward				
niet aannemelijk	DEFINITE_NEGATED_EXISTENCE		bidirectional				
niet alleen	PSEUDONEG		forward				
onthult	DEFINITE_EXISTENCE		forward				
het beste gezien	PROBABLE_EXISTENCE		backward				
tekenen van	PROBABLE_EXISTENCE		bidirectional				
was niet uitgesloten	AMBIVALENT_EXISTENCE	(was|were) not excluded	backward				
als	HYPOTHETICAL		forward				
kleiner worden	HISTORICAL	decrease|decreased|decreasing|reduction|reduced	bidirectional				
toename	HISTORICAL	increase|increasing|increased	bidirectional				
mogelijk	PROBABLE_EXISTENCE		forward				
verminder de waarschijnlijkheid	PROBABLE_NEGATED_EXISTENCE	decreas[a-z]+(\sthe)? likelihood	forward				
verdachte	PROBABLE_EXISTENCE		forward				
waarschijnlijk vertegenwoordigt	PROBABLE_EXISTENCE	likely (represents|representing)	forward				
zonder verandering	HISTORICAL		backwards				
risico factor	FUTURE	risk factor(s)?	bidirectional				
gunst	PROBABLE_EXISTENCE		bidirectional				
